Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels,Acc Z,Labels
-0.15625,Walking,-0.140625,Walking,-0.1875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.15625,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.1875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.203125,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.21875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.203125,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.1875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.171875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.171875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.203125,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.21875,Still,-0.234375,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.125,Walking,-0.21875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.1875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.203125,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.140625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.140625,Walking,-0.15625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.125,Walking,-0.15625,Walking,-0.1875,Still,-0.25,Walking,-0.328125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.140625,Walking,-0.15625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.171875,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.15625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.171875,Walking,-0.171875,Walking,-0.1875,Still,-0.265625,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.171875,Walking,-0.171875,Still,-0.265625,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.28125,Sitting
-0.125,Walking,-0.171875,Walking,-0.171875,Still,-0.265625,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.109375,Walking,-0.15625,Walking,-0.171875,Still,-0.265625,Walking,-0.328125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.078125,Walking,-0.15625,Walking,-0.171875,Still,-0.265625,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.078125,Walking,-0.15625,Walking,-0.1875,Still,-0.265625,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.078125,Walking,-0.140625,Walking,-0.1875,Still,-0.265625,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.09375,Walking,-0.125,Walking,-0.1875,Still,-0.28125,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.109375,Walking,-0.125,Walking,-0.203125,Still,-0.28125,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.140625,Walking,-0.125,Walking,-0.203125,Still,-0.28125,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Sitting,-0.265625,Sitting
-0.15625,Walking,-0.109375,Walking,-0.203125,Still,-0.28125,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.109375,Walking,-0.1875,Still,-0.28125,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.125,Walking,-0.1875,Still,-0.28125,Walking,-0.3125,Still,0.046875,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.109375,Walking,-0.1875,Still,-0.296875,Walking,-0.296875,Still,0.046875,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.09375,Walking,-0.171875,Still,-0.28125,Walking,-0.296875,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.09375,Walking,-0.171875,Still,-0.28125,Walking,-0.3125,Still,0.0625,Sitting,-0.234375,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.109375,Walking,-0.171875,Still,-0.296875,Walking,-0.3125,Still,0.0625,Sitting,-0.234375,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.09375,Walking,-0.171875,Still,-0.296875,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.09375,Walking,-0.171875,Still,-0.296875,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.09375,Walking,-0.1875,Still,-0.296875,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.078125,Walking,-0.1875,Still,-0.265625,Walking,-0.3125,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.078125,Walking,-0.1875,Still,-0.25,Walking,-0.328125,Still,0.046875,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.1875,Walking,-0.078125,Walking,-0.1875,Still,-0.25,Walking,-0.296875,Still,0.0625,Sitting,-0.234375,Postural Transition,-0.28125,Sitting
-0.1875,Walking,-0.0625,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.234375,Postural Transition,-0.28125,Sitting
-0.203125,Walking,-0.046875,Walking,-0.1875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.234375,Postural Transition,-0.28125,Sitting
-0.203125,Walking,-0.0625,Walking,-0.171875,Still,-0.25,Walking,-0.3125,Still,0.0625,Sitting,-0.25,Postural Transition,-0.265625,Sitting
-0.21875,Walking,-0.0625,Walking,-0.171875,Still,-0.234375,Walking,-0.296875,Still,0.046875,Sitting,-0.25,Postural Transition,-0.265625,Sitting
-0.203125,Walking,-0.046875,Walking,-0.171875,Still,-0.234375,Walking,-0.296875,Still,0.0625,Sitting,-0.25,Postural Transition,-0.265625,Sitting
-0.203125,Walking,-0.0625,Walking,-0.171875,Still,-0.21875,Walking,-0.296875,Still,0.0625,Sitting,-0.25,Postural Transition,-0.265625,Sitting
-0.203125,Walking,-0.0625,Walking,-0.171875,Still,-0.203125,Walking,-0.296875,Still,0.046875,Sitting,-0.265625,Postural Transition,-0.265625,Sitting
-0.21875,Walking,-0.078125,Walking,-0.1875,Still,-0.1875,Walking,-0.296875,Still,0.0625,Sitting,-0.265625,Postural Transition,-0.28125,Sitting
-0.21875,Walking,-0.0625,Walking,-0.1875,Still,-0.171875,Walking,-0.296875,Still,0.0625,Sitting,-0.265625,Postural Transition,-0.28125,Sitting
-0.21875,Walking,-0.078125,Walking,-0.1875,Still,-0.15625,Walking,-0.28125,Still,0.0625,Sitting,-0.28125,Postural Transition,-0.265625,Sitting
-0.21875,Walking,-0.078125,Walking,-0.1875,Still,-0.171875,Walking,-0.28125,Still,0.046875,Sitting,-0.296875,Postural Transition,-0.265625,Sitting
-0.203125,Walking,-0.09375,Walking,-0.171875,Still,-0.171875,Walking,-0.265625,Still,0.0625,Sitting,-0.296875,Postural Transition,-0.28125,Sitting
-0.203125,Walking,-0.09375,Walking,-0.171875,Still,-0.203125,Walking,-0.28125,Still,0.0625,Sitting,-0.296875,Postural Transition,-0.265625,Sitting
-0.1875,Walking,-0.09375,Walking,-0.171875,Still,-0.21875,Walking,-0.28125,Still,0.0625,Sitting,-0.3125,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.109375,Walking,-0.1875,Still,-0.21875,Walking,-0.296875,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.28125,Sitting
-0.140625,Walking,-0.109375,Walking,-0.1875,Still,-0.21875,Walking,-0.3125,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.265625,Sitting
-0.125,Walking,-0.09375,Walking,-0.1875,Still,-0.203125,Walking,-0.3125,Still,0.0625,Sitting,-0.359375,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.109375,Walking,-0.1875,Still,-0.1875,Walking,-0.3125,Still,0.0625,Sitting,-0.359375,Postural Transition,-0.28125,Sitting
-0.15625,Walking,-0.125,Walking,-0.1875,Still,-0.171875,Walking,-0.328125,Still,0.0625,Sitting,-0.375,Postural Transition,-0.28125,Sitting
-0.15625,Walking,-0.140625,Walking,-0.171875,Still,-0.1875,Walking,-0.296875,Still,0.0625,Sitting,-0.390625,Postural Transition,-0.28125,Sitting
-0.140625,Walking,-0.15625,Walking,-0.171875,Still,-0.1875,Walking,-0.296875,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.28125,Sitting
-0.140625,Walking,-0.15625,Walking,-0.171875,Still,-0.1875,Walking,-0.296875,Still,0.046875,Sitting,-0.40625,Postural Transition,-0.265625,Sitting
-0.125,Walking,-0.15625,Walking,-0.171875,Still,-0.1875,Walking,-0.296875,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.171875,Walking,-0.171875,Still,-0.1875,Walking,-0.265625,Still,0.0625,Sitting,-0.421875,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.1875,Walking,-0.171875,Still,-0.1875,Walking,-0.265625,Still,0.0625,Sitting,-0.4375,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.1875,Walking,-0.171875,Still,-0.203125,Walking,-0.25,Still,0.0625,Sitting,-0.453125,Postural Transition,-0.28125,Sitting
-0.15625,Walking,-0.203125,Walking,-0.171875,Still,-0.203125,Walking,-0.25,Still,0.0625,Sitting,-0.453125,Postural Transition,-0.28125,Sitting
-0.15625,Walking,-0.203125,Walking,-0.171875,Still,-0.203125,Walking,-0.25,Still,0.0625,Sitting,-0.46875,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.234375,Walking,-0.171875,Still,-0.21875,Walking,-0.25,Still,0.0625,Sitting,-0.484375,Postural Transition,-0.28125,Sitting
-0.125,Walking,-0.25,Walking,-0.171875,Still,-0.21875,Walking,-0.25,Still,0.0625,Sitting,-0.484375,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.265625,Walking,-0.171875,Still,-0.234375,Walking,-0.25,Still,0.0625,Sitting,-0.484375,Postural Transition,-0.28125,Sitting
-0.15625,Walking,-0.265625,Walking,-0.15625,Still,-0.234375,Walking,-0.25,Still,0.0625,Sitting,-0.484375,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.265625,Walking,-0.171875,Still,-0.25,Walking,-0.234375,Still,0.0625,Sitting,-0.484375,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.28125,Walking,-0.171875,Still,-0.25,Walking,-0.25,Still,0.0625,Sitting,-0.46875,Postural Transition,-0.28125,Sitting
-0.171875,Walking,-0.25,Walking,-0.171875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.46875,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.203125,Walking,-0.171875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.375,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.203125,Walking,-0.171875,Still,-0.28125,Walking,-0.25,Still,0.0625,Sitting,-0.28125,Postural Transition,-0.265625,Sitting
-0.1875,Walking,-0.1875,Walking,-0.171875,Still,-0.28125,Walking,-0.25,Still,0.0625,Sitting,-0.265625,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.171875,Walking,-0.171875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.28125,Postural Transition,-0.265625,Sitting
-0.09375,Walking,-0.15625,Walking,-0.171875,Still,-0.28125,Walking,-0.25,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.15625,Walking,-0.1875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.34375,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.15625,Walking,-0.171875,Still,-0.265625,Walking,-0.25,Still,0.046875,Sitting,-0.390625,Postural Transition,-0.265625,Sitting
-0.15625,Walking,-0.15625,Walking,-0.171875,Still,-0.28125,Walking,-0.25,Still,0.0625,Sitting,-0.4375,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.140625,Walking,-0.1875,Still,-0.28125,Walking,-0.234375,Still,0.0625,Sitting,-0.453125,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.125,Walking,-0.1875,Still,-0.265625,Walking,-0.234375,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.28125,Sitting
-0.125,Walking,-0.125,Walking,-0.1875,Still,-0.265625,Walking,-0.234375,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.125,Walking,-0.1875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.28125,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.125,Walking,-0.171875,Still,-0.265625,Walking,-0.25,Still,0.0625,Sitting,-0.296875,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.09375,Walking,-0.171875,Still,-0.296875,Walking,-0.25,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.28125,Sitting
-0.171875,Walking,-0.09375,Walking,-0.171875,Still,-0.3125,Walking,-0.25,Still,0.0625,Sitting,-0.390625,Postural Transition,-0.28125,Sitting
-0.21875,Walking,-0.109375,Walking,-0.171875,Still,-0.3125,Walking,-0.25,Still,0.0625,Sitting,-0.4375,Postural Transition,-0.265625,Sitting
-0.28125,Walking,-0.109375,Walking,-0.171875,Still,-0.328125,Walking,-0.25,Still,0.0625,Sitting,-0.4375,Postural Transition,-0.265625,Sitting
-0.265625,Walking,-0.09375,Walking,-0.171875,Still,-0.328125,Walking,-0.25,Still,0.0625,Sitting,-0.375,Postural Transition,-0.28125,Sitting
-0.203125,Walking,-0.09375,Walking,-0.171875,Still,-0.328125,Walking,-0.25,Still,0.0625,Sitting,-0.203125,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.09375,Walking,-0.171875,Still,-0.34375,Walking,-0.25,Still,0.0625,Sitting,-0.078125,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.09375,Walking,-0.171875,Still,-0.296875,Walking,-0.234375,Still,0.0625,Sitting,-0.140625,Postural Transition,-0.265625,Sitting
-0.171875,Walking,-0.09375,Walking,-0.15625,Still,-0.234375,Walking,-0.21875,Still,0.0625,Sitting,-0.21875,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.109375,Walking,-0.15625,Still,-0.234375,Walking,-0.25,Still,0.0625,Sitting,-0.296875,Postural Transition,-0.265625,Sitting
-0.125,Walking,-0.125,Walking,-0.15625,Still,-0.234375,Walking,-0.25,Still,0.046875,Sitting,-0.34375,Postural Transition,-0.265625,Sitting
-0.125,Walking,-0.140625,Walking,-0.15625,Still,-0.203125,Walking,-0.234375,Still,0.0625,Sitting,-0.390625,Postural Transition,-0.265625,Sitting
-0.109375,Walking,-0.140625,Walking,-0.15625,Still,-0.171875,Walking,-0.234375,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.265625,Sitting
-0.109375,Walking,-0.140625,Walking,-0.15625,Still,-0.15625,Walking,-0.234375,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.265625,Sitting
-0.078125,Walking,-0.15625,Walking,-0.171875,Still,-0.125,Walking,-0.234375,Still,0.0625,Sitting,-0.421875,Postural Transition,-0.265625,Sitting
-0.03125,Walking,-0.15625,Walking,-0.171875,Still,-0.125,Walking,-0.234375,Still,0.0625,Sitting,-0.4375,Postural Transition,-0.265625,Sitting
-0.015625,Walking,-0.171875,Walking,-0.15625,Still,-0.125,Walking,-0.234375,Still,0.0625,Sitting,-0.40625,Postural Transition,-0.265625,Sitting
-0.03125,Walking,-0.171875,Walking,-0.15625,Still,-0.109375,Walking,-0.234375,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.265625,Sitting
-0.09375,Walking,-0.171875,Walking,-0.15625,Still,-0.09375,Walking,-0.234375,Still,0.0625,Sitting,-0.25,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.1875,Walking,-0.15625,Still,-0.09375,Walking,-0.234375,Still,0.0625,Sitting,-0.328125,Postural Transition,-0.265625,Sitting
-0.140625,Walking,-0.21875,Walking,-0.171875,Still,-0.09375,Walking,-0.234375,Still,0.0625,Sitting,-0.296875,Postural Transition,-0.265625,Sitting
